corp_code,fiscal_year,company_name,basis,filing_date,receipt_no,period_to,stock_code,corp_cls,first_period,seed_source
00819073,2020,인크로스,,20200515,20200515001731,,216050,K,Q1,historical_dart_periodic_filing_universe
00819374,2020,나무가,,20200515,20200515001312,,190510,K,Q1,historical_dart_periodic_filing_universe
00820352,2020,파인텍,,20200515,20200515001170,,131760,K,Q1,historical_dart_periodic_filing_universe
00821607,2020,알톤,,20200515,20200515000172,,123750,K,Q1,historical_dart_periodic_filing_universe
00823429,2020,한국화장품,,20200515,20200515001022,,123690,Y,Q1,historical_dart_periodic_filing_universe
00825223,2020,화신정공,,20200515,20200515000266,,126640,K,Q1,historical_dart_periodic_filing_universe
00825959,2020,하이비젼시스템,,20200515,20200515002276,,126700,K,Q1,historical_dart_periodic_filing_universe
00828497,2020,한미약품,,20200515,20200515002041,,128940,Y,Q1,historical_dart_periodic_filing_universe
00828761,2020,레이,,20200513,20200513000467,,228670,K,Q1,historical_dart_periodic_filing_universe
00828789,2020,대성산업,,20200515,20200515001049,,128820,Y,Q1,historical_dart_periodic_filing_universe
00829380,2020,피제이메탈,,20200515,20200515001309,,128660,K,Q1,historical_dart_periodic_filing_universe
00831428,2020,옵투스제약,,20200514,20200514000188,,131030,K,Q1,historical_dart_periodic_filing_universe
00833064,2020,엠플러스,,20200515,20200515000925,,259630,K,Q1,historical_dart_periodic_filing_universe
00838005,2020,서진시스템,,20200515,20200515001557,,178320,K,Q1,historical_dart_periodic_filing_universe
00838500,2020,엘브이엠씨,,20200528,20200528000721,,900140,Y,Q1,historical_dart_periodic_filing_universe
00838962,2020,알서포트,,20200514,20200514001112,,131370,K,Q1,historical_dart_periodic_filing_universe
00842585,2020,네이블,,20200515,20200515001531,,153460,K,Q1,historical_dart_periodic_filing_universe
00842619,2020,리가켐바이오,,20200515,20200515002575,,141080,K,Q1,historical_dart_periodic_filing_universe
00843900,2020,육일씨엔에쓰,,20200515,20200515001868,,191410,K,Q1,historical_dart_periodic_filing_universe
00852087,2020,시디즈,,20200515,20200515001412,,134790,Y,Q1,historical_dart_periodic_filing_universe
00854997,2020,에스디바이오센서,,20210331,20210331002449,,137310,Y,FY,historical_dart_periodic_filing_universe
00855093,2020,선진,,20200514,20200514001135,,136490,Y,Q1,historical_dart_periodic_filing_universe
00855163,2020,미원화학,,20200513,20200513000251,,134380,Y,Q1,historical_dart_periodic_filing_universe
00857480,2020,사람인,,20200514,20200514000391,,143240,K,Q1,historical_dart_periodic_filing_universe
00857727,2020,하림,,20200513,20200513000801,,136480,K,Q1,historical_dart_periodic_filing_universe
00858124,2020,알에스오토메이션,,20200515,20200515000249,,140670,K,Q1,historical_dart_periodic_filing_universe
